,AREA,YEAR_op,TECHNOLOGIES,capacityCosts_Pvar
0,Marseille,2020,SMR,9128548.42460624
1,Marseille,2020,electrolysis_PEMEL,-0.0
2,Marseille,2020,WindOnShore,-0.0
3,Marseille,2020,SMR + CCS1,-0.0
4,Marseille,2020,electrolysis_AEL,-0.0
5,Marseille,2020,SMR + CCS2,-0.0
6,Marseille,2020,Solar,-0.0
7,Marseille,2020,curtailment,0.0
8,Marseille,2020,CCS1,-0.0
9,Marseille,2020,CCS2,-0.0
10,Marseille,2020,WindOffShore_flot,-0.0
11,Marseille,2030,SMR,1220549.2056106178
12,Marseille,2030,electrolysis_PEMEL,-0.0
13,Marseille,2030,WindOnShore,-0.0
14,Marseille,2030,SMR + CCS1,11424963.277939247
15,Marseille,2030,electrolysis_AEL,-0.0
16,Marseille,2030,SMR + CCS2,-0.0
17,Marseille,2030,Solar,-0.0
18,Marseille,2030,curtailment,0.0
19,Marseille,2030,CCS1,4769309.394453671
20,Marseille,2030,CCS2,-0.0
21,Marseille,2030,WindOffShore_flot,-0.0
22,Marseille,2040,SMR,824559.3095993258
23,Marseille,2040,electrolysis_PEMEL,-0.0
24,Marseille,2040,WindOnShore,379721.6080702223
25,Marseille,2040,SMR + CCS1,7718295.820726299
26,Marseille,2040,electrolysis_AEL,16410286.502882404
27,Marseille,2040,SMR + CCS2,-0.0
28,Marseille,2040,Solar,-0.0
29,Marseille,2040,curtailment,0.0
30,Marseille,2040,CCS1,3221974.536937167
31,Marseille,2040,CCS2,-0.0
32,Marseille,2040,WindOffShore_flot,-0.0
33,Marseille,2050,SMR,5144810.39096545
34,Marseille,2050,electrolysis_PEMEL,-0.0
35,Marseille,2050,WindOnShore,2090979.1849298673
36,Marseille,2050,SMR + CCS1,5214204.100880597
37,Marseille,2050,electrolysis_AEL,19569703.45761461
38,Marseille,2050,SMR + CCS2,-0.0
39,Marseille,2050,Solar,845860.5511969472
40,Marseille,2050,curtailment,0.0
41,Marseille,2050,CCS1,2176650.5500238445
42,Marseille,2050,CCS2,-0.0
43,Marseille,2050,WindOffShore_flot,-0.0
