,AREA,YEAR_op,TECHNOLOGIES,capacity_Pvar
0,Marseille,2020,electrolysis_AEL,0.0
1,Marseille,2020,CCS2,0.0
2,Marseille,2020,curtailment,0.0
3,Marseille,2020,SMR + CCS1,0.0
4,Marseille,2020,WindOnShore,0.0
5,Marseille,2020,WindOffShore_flot,0.0
6,Marseille,2020,SMR + CCS2,0.0
7,Marseille,2020,CCS1,0.0
8,Marseille,2020,SMR,411.0
9,Marseille,2020,electrolysis_PEMEL,0.0
10,Marseille,2020,Solar,0.0
11,Marseille,2030,electrolysis_AEL,0.0
12,Marseille,2030,CCS2,0.0
13,Marseille,2030,curtailment,0.0
14,Marseille,2030,SMR + CCS1,525.3661772076151
15,Marseille,2030,WindOnShore,0.0
16,Marseille,2030,WindOffShore_flot,0.0
17,Marseille,2030,SMR + CCS2,0.0
18,Marseille,2030,CCS1,0.0
19,Marseille,2030,SMR,0.0
20,Marseille,2030,electrolysis_PEMEL,0.0
21,Marseille,2030,Solar,0.0
22,Marseille,2040,electrolysis_AEL,418.1794460714447
23,Marseille,2040,CCS2,0.0
24,Marseille,2040,curtailment,100000.0
25,Marseille,2040,SMR + CCS1,525.3661772076151
26,Marseille,2040,WindOnShore,100.00000000000003
27,Marseille,2040,WindOffShore_flot,0.0
28,Marseille,2040,SMR + CCS2,0.0
29,Marseille,2040,CCS1,0.0
30,Marseille,2040,SMR,101.1195899188195
31,Marseille,2040,electrolysis_PEMEL,0.0
32,Marseille,2040,Solar,20.23685447689344
33,Marseille,2050,electrolysis_AEL,1366.9105809132277
34,Marseille,2050,CCS2,0.0
35,Marseille,2050,curtailment,100000.0
36,Marseille,2050,SMR + CCS1,525.3661772076151
37,Marseille,2050,WindOnShore,300.0
38,Marseille,2050,WindOffShore_flot,0.0
39,Marseille,2050,SMR + CCS2,0.0
40,Marseille,2050,CCS1,0.0
41,Marseille,2050,SMR,29.456931678727493
42,Marseille,2050,electrolysis_PEMEL,0.0
43,Marseille,2050,Solar,220.23685447689343
