,AREA,YEAR_op,STOCK_TECHNO,Cmax_Pvar
0,Marseille,2020,tankH2_G,0.0
1,Marseille,2020,Battery,0.0
2,Marseille,2020,saltCavernH2_G,0.0
3,Marseille,2030,tankH2_G,-2.8398992587956425e-29
4,Marseille,2030,Battery,0.0
5,Marseille,2030,saltCavernH2_G,32077.136307897894
6,Marseille,2040,tankH2_G,5515.951859768696
7,Marseille,2040,Battery,0.0
8,Marseille,2040,saltCavernH2_G,162077.1363078979
9,Marseille,2050,tankH2_G,22859.184304314917
10,Marseille,2050,Battery,0.0
11,Marseille,2050,saltCavernH2_G,292077.1363078979
