,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,gazNat,34330520.63839719
1,Marseille,2020,gazBio,-0.0
2,Marseille,2020,electricity,-0.0
3,Marseille,2020,hydrogen,-0.0
4,Marseille,2020,gaz,-0.0
5,Marseille,2030,gazNat,33371821.059623845
6,Marseille,2030,gazBio,-0.0
7,Marseille,2030,electricity,-0.0
8,Marseille,2030,hydrogen,36031375.13608223
9,Marseille,2030,gaz,-0.0
10,Marseille,2040,gazNat,17860670.54055099
11,Marseille,2040,gazBio,-0.0
12,Marseille,2040,electricity,452718.3968329414
13,Marseille,2040,hydrogen,40546313.892243184
14,Marseille,2040,gaz,-0.0
15,Marseille,2050,gazNat,5291558.302371887
16,Marseille,2050,gazBio,-0.0
17,Marseille,2050,electricity,1639346.285143741
18,Marseille,2050,hydrogen,21246072.99460624
19,Marseille,2050,gaz,-0.0
