,AREA,YEAR_invest,TECHNOLOGIES,capacityInvest_Dvar
0,Marseille,2010,SolarPPA,0.0
1,Marseille,2010,WindOffShore_flot,0.0
2,Marseille,2010,WindOnShorePPA,0.0
3,Marseille,2010,electrolysis_AEL,0.0
4,Marseille,2010,SMR,411.0
5,Marseille,2010,Solar,0.0
6,Marseille,2010,WindOffShorePPA,0.0
7,Marseille,2010,curtailment,100000.0
8,Marseille,2010,WindOnShore,0.0
9,Marseille,2020,SolarPPA,0.0
10,Marseille,2020,WindOffShore_flot,0.0
11,Marseille,2020,WindOnShorePPA,0.0
12,Marseille,2020,electrolysis_AEL,1123.9221225325534
13,Marseille,2020,SMR,0.0
14,Marseille,2020,Solar,1847.0252456972144
15,Marseille,2020,WindOffShorePPA,0.0
16,Marseille,2020,curtailment,100000.0
17,Marseille,2020,WindOnShore,760.8509681052445
