,AREA,YEAR_invest,TECHNOLOGIES,capacityInvest_Dvar
0,France,2010,CCG,100000.0
1,France,2010,HydroRiver,100000.0
2,France,2010,TAC,6800.0
3,France,2010,OldNuke,100000.0
4,France,2010,CCG_H2,0.0
5,France,2010,WindOffShore,2600.0
6,France,2010,Solar,22270.0
7,France,2010,curtailment,100000.0
8,France,2010,electrolysis_AEL,912.5
9,France,2010,HydroReservoir,100000.0
10,France,2010,Coal_p,3500.0
11,France,2010,WindOnShore,24885.0
12,France,2010,TAC_H2,0.0
13,France,2010,IntercoIn,6997.959951384157
14,France,2010,IntercoOut,0.0
15,France,2010,NewNuke,0.0
16,France,2020,CCG,0.0
17,France,2020,HydroRiver,500.0
18,France,2020,TAC,0.0
19,France,2020,OldNuke,100000.0
20,France,2020,CCG_H2,0.0
21,France,2020,WindOffShore,10450.0
22,France,2020,Solar,35080.0
23,France,2020,curtailment,100000.0
24,France,2020,electrolysis_AEL,1661.3503072266296
25,France,2020,HydroReservoir,500.0
26,France,2020,Coal_p,0.0
27,France,2020,WindOnShore,15315.0
28,France,2020,TAC_H2,0.0
29,France,2020,IntercoIn,19002.040048615843
30,France,2020,IntercoOut,0.0
31,France,2020,NewNuke,3300.0
32,France,2030,CCG,0.0
33,France,2030,HydroRiver,1000.0
34,France,2030,TAC,0.0
35,France,2030,OldNuke,100000.0
36,France,2030,CCG_H2,0.0
37,France,2030,WindOffShore,22500.0
38,France,2030,Solar,41450.0
39,France,2030,curtailment,100000.0
40,France,2030,electrolysis_AEL,5364.961846973566
41,France,2030,HydroReservoir,1000.0
42,France,2030,Coal_p,0.0
43,France,2030,WindOnShore,12400.0
44,France,2030,TAC_H2,10.87339894343543
45,France,2030,IntercoIn,8549.999999999996
46,France,2030,IntercoOut,0.0
47,France,2030,NewNuke,6600.0
48,France,2040,CCG,0.0
49,France,2040,HydroRiver,500.0
50,France,2040,TAC,0.0
51,France,2040,OldNuke,100000.0
52,France,2040,CCG_H2,0.0
53,France,2040,WindOffShore,12050.0
54,France,2040,Solar,41470.0
55,France,2040,curtailment,100000.0
56,France,2040,electrolysis_AEL,4753.149908255864
57,France,2040,HydroReservoir,500.0
58,France,2040,Coal_p,0.0
59,France,2040,WindOnShore,30285.0
60,France,2040,TAC_H2,0.0
61,France,2040,IntercoIn,4849.999999999999
62,France,2040,IntercoOut,0.0
63,France,2040,NewNuke,3300.0
