,AREA,YEAR_op,TECHNOLOGIES,powerCosts_Pvar
0,France,2020,CCG,0.0
1,France,2020,HydroRiver,0.0
2,France,2020,TAC,0.0
3,France,2020,OldNuke,5790830907.526568
4,France,2020,CCG_H2,0.0
5,France,2020,WindOffShore,0.0
6,France,2020,Solar,0.0
7,France,2020,curtailment,4781997.394814768
8,France,2020,electrolysis_AEL,0.0
9,France,2020,HydroReservoir,0.0
10,France,2020,Coal_p,17052528.09330922
11,France,2020,WindOnShore,0.0
12,France,2020,TAC_H2,0.0
13,France,2020,IntercoIn,41753581.325415306
14,France,2020,IntercoOut,-0.0
15,France,2020,NewNuke,0.0
16,France,2030,CCG,0.0
17,France,2030,HydroRiver,0.0
18,France,2030,TAC,0.0
19,France,2030,OldNuke,3078546187.266395
20,France,2030,CCG_H2,0.0
21,France,2030,WindOffShore,0.0
22,France,2030,Solar,0.0
23,France,2030,curtailment,4995699.740527604
24,France,2030,electrolysis_AEL,0.0
25,France,2030,HydroReservoir,0.0
26,France,2030,Coal_p,27961091.19058496
27,France,2030,WindOnShore,0.0
28,France,2030,TAC_H2,0.0
29,France,2030,IntercoIn,702476511.2267236
30,France,2030,IntercoOut,-0.0
31,France,2030,NewNuke,0.0
32,France,2040,CCG,0.0
33,France,2040,HydroRiver,0.0
34,France,2040,TAC,0.0
35,France,2040,OldNuke,1051709637.4217227
36,France,2040,CCG_H2,0.0
37,France,2040,WindOffShore,0.0
38,France,2040,Solar,0.0
39,France,2040,curtailment,277683000.9825178
40,France,2040,electrolysis_AEL,0.0
41,France,2040,HydroReservoir,0.0
42,France,2040,Coal_p,-0.0
43,France,2040,WindOnShore,0.0
44,France,2040,TAC_H2,0.0
45,France,2040,IntercoIn,2092924702.1449907
46,France,2040,IntercoOut,-0.0
47,France,2040,NewNuke,0.0
48,France,2050,CCG,0.0
49,France,2050,HydroRiver,0.0
50,France,2050,TAC,0.0
51,France,2050,OldNuke,343003420.0103618
52,France,2050,CCG_H2,0.0
53,France,2050,WindOffShore,0.0
54,France,2050,Solar,0.0
55,France,2050,curtailment,145376830.69455993
56,France,2050,electrolysis_AEL,0.0
57,France,2050,HydroReservoir,0.0
58,France,2050,Coal_p,-0.0
59,France,2050,WindOnShore,0.0
60,France,2050,TAC_H2,0.0
61,France,2050,IntercoIn,1618286017.3252351
62,France,2050,IntercoOut,-0.0
63,France,2050,NewNuke,0.0
