,AREA,YEAR_op,TECHNOLOGIES,capacityCosts_Pvar
0,Marseille,2020,electrolysis_AEL,-0.0
1,Marseille,2020,SMR + CCS1,-0.0
2,Marseille,2020,WindOffShore_flot,-0.0
3,Marseille,2020,CCS1,-0.0
4,Marseille,2020,electrolysis_PEMEL,-0.0
5,Marseille,2020,curtailment,0.0
6,Marseille,2020,SMR + CCS2,-0.0
7,Marseille,2020,CCS2,-0.0
8,Marseille,2020,SMR,9128548.42460624
9,Marseille,2020,Solar,-0.0
10,Marseille,2020,WindOnShore,-0.0
11,Marseille,2030,electrolysis_AEL,-0.0
12,Marseille,2030,SMR + CCS1,13036088.229345266
13,Marseille,2030,WindOffShore_flot,-0.0
14,Marseille,2030,CCS1,6979511.374706097
15,Marseille,2030,electrolysis_PEMEL,-0.0
16,Marseille,2030,curtailment,0.0
17,Marseille,2030,SMR + CCS2,-0.0
18,Marseille,2030,CCS2,-0.0
19,Marseille,2030,SMR,-0.0
20,Marseille,2030,Solar,-0.0
21,Marseille,2030,WindOnShore,-0.0
22,Marseille,2040,electrolysis_AEL,12749271.950718451
23,Marseille,2040,SMR + CCS1,8806714.10939741
24,Marseille,2040,WindOffShore_flot,-0.0
25,Marseille,2040,CCS1,4715107.800663531
26,Marseille,2040,electrolysis_PEMEL,-0.0
27,Marseille,2040,curtailment,0.0
28,Marseille,2040,SMR + CCS2,-0.0
29,Marseille,2040,CCS2,-0.0
30,Marseille,2040,SMR,3652310.5325569054
31,Marseille,2040,Solar,157836.52168752515
32,Marseille,2040,WindOnShore,2078112.146532334
33,Marseille,2050,electrolysis_AEL,13755194.013478372
34,Marseille,2050,SMR + CCS1,5949500.4974014945
35,Marseille,2050,WindOffShore_flot,-0.0
36,Marseille,2050,CCS1,3185357.882279298
37,Marseille,2050,electrolysis_PEMEL,-0.0
38,Marseille,2050,curtailment,0.0
39,Marseille,2050,SMR + CCS2,-0.0
40,Marseille,2050,CCS2,-0.0
41,Marseille,2050,SMR,9080113.371983942
42,Marseille,2050,Solar,950562.6945586556
43,Marseille,2050,WindOnShore,2905615.1803907715
