,AREA,YEAR_invest,YEAR_invest,TECHNOLOGIES,capacityDel_Pvar
0,Marseille,2010,2010,CCS2,0.0
1,Marseille,2010,2010,electrolysis_PEMEL,0.0
2,Marseille,2010,2010,SMR + CCS2,0.0
3,Marseille,2010,2010,Solar,0.0
4,Marseille,2010,2010,electrolysis_AEL,0.0
5,Marseille,2010,2010,CCS1,0.0
6,Marseille,2010,2010,curtailment,0.0
7,Marseille,2010,2010,SMR,0.0
8,Marseille,2010,2010,SMR + CCS1,0.0
9,Marseille,2010,2010,WindOffShore_flot,0.0
10,Marseille,2010,2010,WindOnShore,0.0
11,Marseille,2010,2020,CCS2,0.0
12,Marseille,2010,2020,electrolysis_PEMEL,0.0
13,Marseille,2010,2020,SMR + CCS2,0.0
14,Marseille,2010,2020,Solar,0.0
15,Marseille,2010,2020,electrolysis_AEL,0.0
16,Marseille,2010,2020,CCS1,0.0
17,Marseille,2010,2020,curtailment,0.0
18,Marseille,2010,2020,SMR,0.0
19,Marseille,2010,2020,SMR + CCS1,0.0
20,Marseille,2010,2020,WindOffShore_flot,0.0
21,Marseille,2010,2020,WindOnShore,0.0
22,Marseille,2010,2030,CCS2,0.0
23,Marseille,2010,2030,electrolysis_PEMEL,0.0
24,Marseille,2010,2030,SMR + CCS2,0.0
25,Marseille,2010,2030,Solar,0.0
26,Marseille,2010,2030,electrolysis_AEL,0.0
27,Marseille,2010,2030,CCS1,0.0
28,Marseille,2010,2030,curtailment,0.0
29,Marseille,2010,2030,SMR,0.0
30,Marseille,2010,2030,SMR + CCS1,0.0
31,Marseille,2010,2030,WindOffShore_flot,0.0
32,Marseille,2010,2030,WindOnShore,0.0
33,Marseille,2010,2040,CCS2,0.0
34,Marseille,2010,2040,electrolysis_PEMEL,0.0
35,Marseille,2010,2040,SMR + CCS2,0.0
36,Marseille,2010,2040,Solar,0.0
37,Marseille,2010,2040,electrolysis_AEL,0.0
38,Marseille,2010,2040,CCS1,0.0
39,Marseille,2010,2040,curtailment,0.0
40,Marseille,2010,2040,SMR,411.0
41,Marseille,2010,2040,SMR + CCS1,0.0
42,Marseille,2010,2040,WindOffShore_flot,0.0
43,Marseille,2010,2040,WindOnShore,0.0
44,Marseille,2020,2010,CCS2,0.0
45,Marseille,2020,2010,electrolysis_PEMEL,0.0
46,Marseille,2020,2010,SMR + CCS2,0.0
47,Marseille,2020,2010,Solar,0.0
48,Marseille,2020,2010,electrolysis_AEL,0.0
49,Marseille,2020,2010,CCS1,0.0
50,Marseille,2020,2010,curtailment,0.0
51,Marseille,2020,2010,SMR,0.0
52,Marseille,2020,2010,SMR + CCS1,0.0
53,Marseille,2020,2010,WindOffShore_flot,0.0
54,Marseille,2020,2010,WindOnShore,0.0
55,Marseille,2020,2020,CCS2,0.0
56,Marseille,2020,2020,electrolysis_PEMEL,0.0
57,Marseille,2020,2020,SMR + CCS2,0.0
58,Marseille,2020,2020,Solar,0.0
59,Marseille,2020,2020,electrolysis_AEL,0.0
60,Marseille,2020,2020,CCS1,0.0
