,AREA,YEAR_op,RESOURCES,importCosts_Pvar
0,Marseille,2020,hydrogen,-0.0
1,Marseille,2020,electricity,-0.0
2,Marseille,2020,gaz,-0.0
3,Marseille,2020,gazNat,34330520.63839719
4,Marseille,2020,gazBio,-0.0
5,Marseille,2030,hydrogen,7104800.152682296
6,Marseille,2030,electricity,33190674.690864034
7,Marseille,2030,gaz,-0.0
8,Marseille,2030,gazNat,26538407.865177043
9,Marseille,2030,gazBio,40242028.22701278
10,Marseille,2040,hydrogen,4148845.258624475
11,Marseille,2040,electricity,12104825.554745331
12,Marseille,2040,gaz,-0.0
13,Marseille,2040,gazNat,1507739.2624679194
14,Marseille,2040,gazBio,28672325.788692378
15,Marseille,2050,hydrogen,606756.3444078754
16,Marseille,2050,electricity,6917451.585293142
17,Marseille,2050,gaz,-0.0
18,Marseille,2050,gazNat,434321.308454825
19,Marseille,2050,gazBio,19666318.925323002
