,AREA,YEAR_op,TECHNOLOGIES,capacityCosts_Pvar
0,Marseille,2020,SolarPPA,-0.0
1,Marseille,2020,WindOffShore_flot,-0.0
2,Marseille,2020,WindOnShorePPA,-0.0
3,Marseille,2020,electrolysis_AEL,-0.0
4,Marseille,2020,SMR,9128548.42460624
5,Marseille,2020,Solar,-0.0
6,Marseille,2020,WindOffShorePPA,-0.0
7,Marseille,2020,curtailment,0.0
8,Marseille,2020,WindOnShore,-0.0
9,Marseille,2030,SolarPPA,49223369.82091153
10,Marseille,2030,WindOffShore_flot,-0.0
11,Marseille,2030,WindOnShorePPA,40898957.5461207
12,Marseille,2030,electrolysis_AEL,42364235.562779926
13,Marseille,2030,SMR,-0.0
14,Marseille,2030,Solar,2568603.994402941
15,Marseille,2030,WindOffShorePPA,-0.0
16,Marseille,2030,curtailment,0.0
17,Marseille,2030,WindOnShore,7885320.536982917
